book_id,tag_id
0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,4
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,6
30,6
31,6
32,6
33,6
34,6
35,7
36,7
37,7
38,7
39,7
40,7
41,8
42,8
43,8
44,8
45,8
46,8
47,9
48,9
49,9
50,9
51,9
52,9
53,10
54,10
55,10
56,10
57,10
58,10
59,11
60,11
61,11
62,11
63,11
64,11
65,11
66,12
67,12
68,12
69,12
70,12
71,12
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,14
80,14
81,14
82,14
83,14
84,14
85,15
86,15
87,15
88,15
89,15
90,15
91,16
92,16
93,16
94,16
95,16
96,16
97,17
98,17
99,17
100,17
101,18
102,18
103,18
104,18
105,18
106,18
107,19
108,19
109,19
110,19
111,19
112,19
113,20
114,20
115,20
116,20
117,20
118,20
119,1
120,2
121,22
122,22
123,22
124,22
125,22
126,22
127,23
128,23
129,23
130,23
131,23
132,23
133,24
134,24
135,24
136,24
137,24
138,24
139,25
140,25
141,25
142,25
143,25
144,25
145,26
146,26
147,26
148,26
149,26
150,26
151,21
152,21
153,21
154,21
155,21
156,21
157,19
